АБСОЛЮТИЗИРОВАТЬ	106710-V	ОПРЕДЕЛИТЬ, ВЫЯСНИТЬ
АБСОЛЮТИЗИРОВАТЬ	115033-V	ОЦЕНИТЬ, ДАТЬ ОЦЕНКУ
АБСОЛЮТИЗИРОВАТЬ	106884-V	СЧИТАТЬ, ПРИЗНАВАТЬ КЕМ-ЛИБО
АБСОЛЮТИЗИРОВАТЬ	149806-V	УТВЕРЖДАТЬ, ДЕЛАТЬ УТВЕРЖДЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	111944-V	НАЗНАЧИТЬ, УСТАНОВИТЬ, ОПРЕДЕЛИТЬ
АБСОЛЮТИЗИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АБСОЛЮТИЗИРОВАТЬ	111588-V	РАЗЛИЧИТЬ, УСТАНОВИТЬ РАЗЛИЧИЕ
АБСОЛЮТИЗИРОВАТЬ	106877-V	ВЫСКАЗАТЬ МНЕНИЕ
АБСОЛЮТИЗИРОВАТЬ	107410-V	ДЕЛИТЬ, РАЗДЕЛЯТЬ НА ЧАСТИ
АБСОЛЮТИЗИРОВАТЬ	106876-V	ВЫСКАЗАТЬ
АКТИВИРОВАТЬ	107417-V	ОТДЕЛИТЬ ЧАСТЬ ОТ ЦЕЛОГО
АКТИВИРОВАТЬ	111842-V	ВЫКЛЮЧИТЬ (ПРЕКРАТИТЬ)
АКТИВИРОВАТЬ	121460-V	ОТКРЫТЬ ДОСТУП
АКТИВИРОВАТЬ	106473-V	ОБУСЛАВЛИВАТЬ, СПОСОБСТВОВАТЬ
АКТИВИРОВАТЬ	106704-V	МЕШАТЬ, СОЗДАВАТЬ ПРЕПЯТСТВИЕ
АКТИВИРОВАТЬ	120503-V	СТОПОРИТЬ (ОСТАНОВИТЬ ДВИЖЕНИЕ)
АКТИВИРОВАТЬ	115394-V	ЗАКРЕПИТЬ (ПРИДЕЛАТЬ)
АКТИВИРОВАТЬ	106531-V	ПРЕКРАТИТЬ, ПОЛОЖИТЬ КОНЕЦ
АКТИВИРОВАТЬ	153231-V	СНЯТИЕ ЗАПРЕТА
АКТИВИРОВАТЬ	111667-V	ПРИСОЕДИНИТЬСЯ
