АДСОРБИРОВАТЬ	111097-V	ИЗМЕНЕНИЕ АГРЕГАТНОГО СОСТОЯНИЯ
АДСОРБИРОВАТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АДСОРБИРОВАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
АДСОРБИРОВАТЬ	106950-V	ПРЕВРАТИТЬ (ПРИДАТЬ ИНОЙ ВИД, КАЧЕСТВО)
АДСОРБИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АДСОРБИРОВАТЬ	112139-V	ОЧИСТКА ОТ ПРИМЕСЕЙ
АДСОРБИРОВАТЬ	106534-V	ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ
АДСОРБИРОВАТЬ	112136-V	ПРОПУСТИТЬ (ДАТЬ ПРОНИКНУТЬ)
АДСОРБИРОВАТЬ	107417-V	ОТДЕЛИТЬ ЧАСТЬ ОТ ЦЕЛОГО
АДСОРБИРОВАТЬ	145451-V	СЕПАРАЦИЯ СМЕСИ
АКАТЬ	107093-V	ИЗДАТЬ ЗВУК
АКАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
АКАТЬ	106933-V	ГЛОТАТЬ ВНУТРЬ СЕБЯ
АКАТЬ	106876-V	ВЫСКАЗАТЬ
АКАТЬ	106934-V	ЕСТЬ, ПРИНИМАТЬ ПИЩУ
АКАТЬ	110719-V	ЛИТЬ ЖИДКОСТЬ
АКАТЬ	120904-V	ВЫСТУПИТЬ НАРУЖУ
АКАТЬ	114103-V	ИЗДАВАТЬ, ИСПУСКАТЬ
АКАТЬ	106504-V	ПОСТУПОК ЧЕЛОВЕКА
АКАТЬ	107196-V	ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ
АКТИРОВАТЬ	118698-V	ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ
АКТИРОВАТЬ	111360-V	УСТРАНИТЬ (УНИЧТОЖИТЬ)
АКТИРОВАТЬ	111362-V	ИСПРАВИТЬ (УЛУЧШИТЬ)
АКТИРОВАТЬ	148420-V	ОТНОШЕНИЯ МЕЖДУ ЛЮДЬМИ
АКТИРОВАТЬ	111361-V	ИСПРАВИТЬ НЕДОСТАТКИ, ОШИБКИ
АКТИРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
АКТИРОВАТЬ	150985-V	СМЕНА ВЛАДЕЛЬЦА
АКТИРОВАТЬ	115176-V	ЛИМИТИРОВАТЬ
АКТИРОВАТЬ	106695-V	ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ
АКТИРОВАТЬ	114502-V	НАВЕСТИ НА ЦЕЛЬ
АЛЕТЬ	110416-V	ИЗМЕНЯТЬСЯ В ЦВЕТЕ
АЛЕТЬ	111001-V	ВИДНЕТЬСЯ
АЛЕТЬ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
АЛЕТЬ	106646-V	ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ
АЛЕТЬ	113005-V	СВЕТИТЬСЯ, ИЗЛУЧАТЬ СВЕТ
АЛЕТЬ	113004-V	ИЗЛУЧАТЬ, ИСПУСКАТЬ ЛУЧИ
АЛЕТЬ	113413-V	ГОРЕТЬ, СГОРАТЬ
АЛЕТЬ	113780-V	ПОКРЫТЬСЯ НА ПОВЕРХНОСТИ
АЛЕТЬ	110418-V	СИНЕТЬ, СТАНОВИТЬСЯ СИНИМ
АЛЕТЬ	111004-V	КРАСНЕТЬ (ВИДНЕТЬСЯ)
